Project;                    Version;                License;                        License link;                                                                                               Website;                                                                                                                Development
alabaster;                  0.7.11;                 BSD-3-Clause;                   `License <https://github.com/bitprophet/alabaster/blob/0.7.11/LICENSE>`__;                                  `Website <https://github.com/bitprophet/alabaster>`__;                                                                  `Dev <https://github.com/bitprophet/alabaster>`__
altgraph;                   0.15;                   MIT;                            `License <https://bitbucket.org/ronaldoussoren/altgraph/src/altgraph-0.15/doc/license.rst>`__;              `Website <https://bitbucket.org/ronaldoussoren/altgraph>`__;                                                            `Dev <https://bitbucket.org/ronaldoussoren/altgraph>`__
appdirs;                    01.04.2003;             MIT;                            `License <https://github.com/ActiveState/appdirs/blob/1.4.3/LICENSE.txt>`__;                                `Website <https://github.com/ActiveState/appdirs>`__;                                                                   `Dev <https://github.com/ActiveState/appdirs>`__
asn1crypto;                 0.24.0;                 MIT;                            `License <https://github.com/wbond/asn1crypto/blob/0.24.0/LICENSE>`__;                                      `Website <https://github.com/wbond/asn1crypto>`__;                                                                      `Dev <https://github.com/wbond/asn1crypto>`__
babel;                      02.06.2000;             BSD-3-Clause;                   `License <https://github.com/python-babel/babel/blob/v2.6.0/LICENSE>`__;                                    `Website <http://babel.pocoo.org/en/latest>`__;                                                                         `Dev <https://github.com/python-babel/babel>`__
beautifulsoup4;             04.06.2003;             MIT;                            `License <https://www.crummy.com/software/BeautifulSoup/>`__;                                               `Website <https://www.crummy.com/software/BeautifulSoup>`__;                                                            `Dev <https://launchpad.net/beautifulsoup>`__
bitstring;                  03.01.2005;             MIT;                            `License <https://github.com/scott-griffiths/bitstring/blob/bitstring-3.1.5/LICENSE>`__;                    `Website <https://github.com/scott-griffiths/bitstring>`__;                                                             `Dev <https://github.com/scott-griffiths/bitstring>`__
breath;                     04.09.2001;             BSD like;                       `License <https://github.com/michaeljones/breathe/blob/v4.9.1/LICENSE>`__;                                  `Website <https://github.com/michaeljones/breathe>`__;                                                                  `Dev <https://github.com/michaeljones/breathe>`__
ca-certificates;            07.03.2018;             BSD-3-Clause;                   `License <https://github.com/conda-forge/ca-certificates-feedstock/blob/master/LICENSE.txt>`__;             `Website <https://anaconda.org/anaconda/ca-certificates>`__;                                                            `Dev <https://github.com/conda-forge/ca-certificates-feedstock>`__
certifi;                    24.08.2018;             MPL-2.0;                        `License <https://github.com/certifi/python-certifi/blob/2018.08.24/LICENSE>`__;                            `Website <https://certifi.io/en/latest>`__;                                                                             `Dev <https://github.com/certifi/python-certifi>`__
cffi;                       01.11.2005;             MIT;                            `License <https://bitbucket.org/cffi/cffi/src/v1.11.5/LICENSE>`__;                                          `Website <https://cffi.readthedocs.io/en/latest>`__;                                                                    `Dev <https://bitbucket.org/cffi/cffi/src/default/>`__
chardet;                    3.0.4;                  LGPL-2.1;                       `License <https://github.com/chardet/chardet/blob/3.0.4/LICENSE>`__;                                        `Website <https://github.com/chardet/chardet>`__;                                                                       `Dev <https://github.com/chardet/chardet>`__
colorama;                   0.3.9;                  BSD-3-Clause;                   `License <https://github.com/tartley/colorama/blob/0.3.9/LICENSE.txt>`__;                                   `Website <https://github.com/tartley/colorama>`__;                                                                      `Dev <https://github.com/tartley/colorama>`__
conda;                      04.05.2011;             BSD-3-Clause;                   `License <https://github.com/conda/conda/blob/4.5.11/LICENSE.txt>`__;                                       `Website <https://github.com/conda/conda>`__;                                                                           `Dev <https://github.com/conda/conda>`__
